MIT,Pomona-Pitzer,George Fox,Washington U.,U. of Chicago,Wesleyan,UC Santa Cruz,Trine,DePauw,Connecticut College,NYU,Williams,Washington and Lee,Amherst,St. Olaf,Tufts,Middlebury,Vassar,Coast Guard,Colorado College,Johns Hopkins,Calvin,Wis.-La Crosse,Wartburg,Emory,Carnegie Mellon,RPI,SUNY Geneseo,Claremont-Mudd-Scripps,Lynchburg,Rowan,Carleton
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,129,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,31,0,0,0
0,34,2,0,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
3,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,41,9,4,0,0,0,0,0,104,137,159,114,152,111,132,112,122,93,0,0,0,0,0,0,0,13,0,0,0,0,0
24,58,26,21,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
51,85,53,174,223,30,17,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,114,82,138,187,59,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,135,103,98,94,143,67,55,17,0,34,109,11,29,8,30,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,59,0,0,40,0,11,12,0,21,0,0,0,0,0,29,26,37,21,32,10,0,0
27,0,0,0,0,0,0,0,0,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,25,7,2,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,5
30,0,0,0,0,0,0,0,0,0,57,30,3,39,0,0,2,0,0,0,0,0,0,0,19,16,27,11,22,0,0,0
25,0,0,0,0,0,0,0,0,0,30,14,2,19,5,0,0,0,0,0,0,0,0,0,3,0,7,11,0,0,0,0
37,0,0,0,0,0,0,0,0,0,53,23,10,27,7,22,10,0,0,0,0,0,0,0,8,5,20,0,11,11,0,0
41,0,0,47,65,0,0,0,0,100,137,51,14,65,11,16,20,22,0,72,59,54,41,0,18,15,46,10,21,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,25,12,7,0,0,0,0,0,0,0,0,0,0
0,0,0,42,60,0,0,0,0,0,65,0,0,0,0,0,0,0,0,67,54,49,36,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21,29,0,0,0,0,0,49,0,0,28,0,0,0,0,0,0,0,0,0,0,17,0,25,9,20,0,0,0
0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,0,31,14,0,0,14,0,0,0,0,0,0,0,3,0,11,5,6,0,0,0
0,0,0,0,0,0,0,0,0,0,95,0,46,94,0,65,66,54,75,0,6,0,0,0,83,80,91,75,86,64,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
